line,station1,station2,station1_lat,station1_lon,station2_lat,station2_lon
1,11,163,51.5226,-0.1571,51.5225,-0.1631
1,11,212,51.5226,-0.1571,51.5234,-0.1466
1,49,87,51.508,-0.1247,51.5074,-0.1223
1,49,197,51.508,-0.1247,51.5098,-0.1342
1,82,163,51.5199,-0.1679,51.5225,-0.1631
1,82,193,51.5199,-0.1679,51.5154,-0.1755
1,84,148,51.4943,-0.1001,51.4991,-0.1115
1,87,279,51.5074,-0.1223,51.5036,-0.1143
1,113,246,51.5362,-0.2575,51.5439,-0.2759
1,113,298,51.5362,-0.2575,51.5326,-0.2478
1,114,140,51.5925,-0.3351,51.5816,-0.3162
1,137,206,51.5304,-0.225,51.5341,-0.2047
1,137,298,51.5304,-0.225,51.5326,-0.2478
1,140,237,51.5816,-0.3162,51.5701,-0.3081
1,143,159,51.5351,-0.1939,51.53,-0.1854
1,143,206,51.5351,-0.1939,51.5341,-0.2047
1,148,279,51.4991,-0.1115,51.5036,-0.1143
1,159,278,51.53,-0.1854,51.5235,-0.1835
1,185,237,51.5621,-0.3034,51.5701,-0.3081
1,185,281,51.5621,-0.3034,51.5519,-0.2963
1,192,197,51.515,-0.1415,51.5098,-0.1342
1,192,212,51.515,-0.1415,51.5234,-0.1466
1,193,278,51.5154,-0.1755,51.5235,-0.1835
1,246,281,51.5439,-0.2759,51.5519,-0.2963
2,13,156,51.5133,-0.0886,51.5178,-0.0823
2,13,250,51.5133,-0.0886,51.5146,-0.0973
2,16,91,51.5856,0.0887,51.596,0.0912
2,16,173,51.5856,0.0887,51.5756,0.0899
2,24,156,51.527,-0.0549,51.5178,-0.0823
2,24,164,51.527,-0.0549,51.5249,-0.0332
2,28,162,51.5142,-0.1494,51.5136,-0.1586
2,28,192,51.5142,-0.1494,51.515,-0.1415
2,37,158,51.6266,0.0471,51.6412,0.0558
2,37,301,51.6266,0.0471,51.607,0.0341
2,48,126,51.5185,-0.1111,51.5174,-0.12
2,48,250,51.5185,-0.1111,51.5146,-0.0973
2,51,103,51.6177,0.0755,51.6132,0.0923
2,51,215,51.6177,0.0755,51.6171,0.0439
2,68,158,51.6455,0.0838,51.6412,0.0558
2,68,256,51.6455,0.0838,51.6717,0.1033
2,72,286,51.5152,-0.3017,51.518,-0.2809
2,76,181,51.5168,-0.2474,51.5237,-0.2597
2,76,296,51.5168,-0.2474,51.512,-0.2239
2,88,256,51.6937,0.1139,51.6717,0.1033
2,91,109,51.596,0.0912,51.603,0.0933
2,98,173,51.5765,0.0663,51.5756,0.0899
2,98,211,51.5765,0.0663,51.5763,0.0454
2,103,109,51.6132,0.0923,51.603,0.0933
2,105,177,51.5423,-0.3456,51.5483,-0.3687
2,105,196,51.5423,-0.3456,51.5366,-0.3232
2,112,181,51.5302,-0.2933,51.5237,-0.2597
2,112,196,51.5302,-0.2933,51.5366,-0.3232
2,126,259,51.5174,-0.12,51.5165,-0.131
2,127,186,51.5075,-0.206,51.5094,-0.1967
2,127,226,51.5075,-0.206,51.5046,-0.2187
2,149,162,51.5119,-0.1756,51.5136,-0.1586
2,149,208,51.5119,-0.1756,51.5107,-0.1877
2,153,154,51.5566,-0.0053,51.5683,0.0083
2,153,247,51.5566,-0.0053,51.5416,-0.0042
2,154,230,51.5683,0.0083,51.5808,0.0216
2,154,275,51.5683,0.0083,51.5775,0.0288
2,164,247,51.5249,-0.0332,51.5416,-0.0042
2,177,239,51.5483,-0.3687,51.5569,-0.3988
2,181,286,51.5237,-0.2597,51.518,-0.2809
2,186,208,51.5094,-0.1967,51.5107,-0.1877
2,192,259,51.515,-0.1415,51.5165,-0.131
2,211,275,51.5763,0.0454,51.5775,0.0288
2,215,301,51.6171,0.0439,51.607,0.0341
2,221,239,51.5606,-0.4103,51.5569,-0.3988
2,221,294,51.5606,-0.4103,51.5696,-0.4376
2,226,296,51.5046,-0.2187,51.512,-0.2239
2,230,241,51.5808,0.0216,51.5917,0.0275
2,241,301,51.5917,0.0275,51.607,0.0341
3,2,156,51.5143,-0.0755,51.5178,-0.0823
3,2,263,51.5143,-0.0755,51.5098,-0.0766
3,11,83,51.5226,-0.1571,51.5203,-0.17
3,11,104,51.5226,-0.1571,51.5238,-0.1439
3,14,92,51.5204,-0.0979,51.5203,-0.1053
3,14,167,51.5204,-0.0979,51.5186,-0.0886
3,18,186,51.5121,-0.1879,51.5094,-0.1967
3,18,193,51.5121,-0.1879,51.5154,-0.1755
3,25,161,51.512,-0.1031,51.5122,-0.094
3,25,255,51.512,-0.1031,51.5111,-0.1141
3,44,161,51.5113,-0.0904,51.5122,-0.094
3,44,166,51.5113,-0.0904,51.5108,-0.0863
3,83,193,51.5203,-0.17,51.5154,-0.1755
3,87,255,51.5074,-0.1223,51.5111,-0.1141
3,87,285,51.5074,-0.1223,51.501,-0.1254
